Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,3,SK6812,C5378724
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,C24980
