Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R34,10K,R_0402_1005Metric,128.7,-89.54,180,top
R35,10K,R_0402_1005Metric,122.79,-90.15,0,top
R36,10K,R_0402_1005Metric,122.79,-91.29,0,top
R37,10K,R_0402_1005Metric,122.79,-92.5,0,top
R38,10K,R_0402_1005Metric,122.79,-93.72,0,top
SW1,SW_Push,GT-TC057A-H050-L1,169.255,-110.575,0,top
SW2,SW_Push,GT-TC057A-H050-L1,148.195,-112.225,180,top
SW3,SW_Push,GT-TC057A-H050-L1,92.945,-112.195,180,top
U1,ATMEGA256016AU,QFP50P1600X1600X120-100N,121.015,-77.735,0,top
U2,CH340C,SOIC127P600X180-16N,170.115,-102.33,-90,top
U3,CJ2301_S1,SOT-23,135.98,-85.24,0,top
U4,ESP32-WROOM-32U_16MB_,ESP32-WROOM-32U,147.69,-97.19,0,top
U5,CH340C,SOIC127P600X180-16N,134.28,-113.76,-90,top
U6,UMH3N,UMT6,141.3658,-115.7458,180,top
U7,ME6211C33M5G,SOT-23-5,135.15,-95.645108,90,top
U8,CJ2301_S1,SOT-23,134.93,-102.603939,0,top
U9,ESP32-WROOM-32D_16MB_,ESP32-WROOM-32,112.81,-110.01,180,top
U10,CH340C,SOIC127P600X180-16N,92.945,-104.52,-90,top
U11,UMH3N,UMT6,100.115,-102.3442,-90,top
U12,ME6211C33M5G,SOT-23-5,124.9065,-111.644885,-90,top
U13,CJ2301_S1,SOT-23,125.1265,-104.476054,180,top
U14,D36V50F5-STEPDOWN,D36V50F5-STEPDOWN,95.415,-77.515,180,top
Y1,16MHz,XTAL_HC49P488W46L1150T500H350,112.41,-94.02,180,top
