Ref,Val,Package,PosX,PosY,Rot,Side
"R19","22K","R_0603_1608Metric",91.360000,-91.460000,0.000000,top
"R20","10K","R_0603_1608Metric",153.660000,-109.990000,180.000000,top
"R21","100K","R_0603_1608Metric",135.370000,-99.897662,0.000000,top
"R22","100K","R_0603_1608Metric",135.370000,-105.310216,180.000000,top
"R23","10K","R_0603_1608Metric",99.030000,-108.320000,-90.000000,top
"R24","100K","R_0603_1608Metric",124.686500,-107.252331,180.000000,top
"R25","100K","R_0603_1608Metric",124.686500,-101.699777,0.000000,top
"R26","220","R_0402_1005Metric",174.610000,-114.810000,0.000000,top
"R27","220","R_0402_1005Metric",155.250000,-114.860000,0.000000,top
"R28","220","R_0402_1005Metric",100.840000,-114.890000,0.000000,top
"R29","10K","R_0402_1005Metric",128.700000,-95.840000,180.000000,top
"R30","10K","R_0402_1005Metric",128.700000,-94.640000,180.000000,top
"R31","10K","R_0402_1005Metric",128.700000,-93.340000,180.000000,top
"R32","10K","R_0402_1005Metric",128.700000,-91.980000,180.000000,top
"R33","10K","R_0402_1005Metric",128.700000,-90.810000,180.000000,top
"R34","10K","R_0402_1005Metric",128.700000,-89.540000,180.000000,top
"R35","10K","R_0402_1005Metric",122.790000,-90.150000,0.000000,top
"R36","10K","R_0402_1005Metric",122.790000,-91.290000,0.000000,top
"R37","10K","R_0402_1005Metric",122.790000,-92.500000,0.000000,top
"R38","10K","R_0402_1005Metric",122.790000,-93.720000,0.000000,top
"SW1","SW_Push","GT-TC057A-H050-L1",169.255000,-110.575000,0.000000,top
"SW2","SW_Push","GT-TC057A-H050-L1",148.195000,-112.225000,180.000000,top
"SW3","SW_Push","GT-TC057A-H050-L1",92.945000,-112.195000,180.000000,top
"U1","ATMEGA256016AU","QFP50P1600X1600X120-100N",121.015000,-77.735000,0.000000,top
"U2","CH340C","SOIC127P600X180-16N",170.115000,-102.330000,-90.000000,top
"U3","CJ2301_S1","SOT-23",135.980000,-85.240000,0.000000,top
"U4","ESP32-WROOM-32U_16MB_","ESP32-WROOM-32U",147.690000,-97.190000,0.000000,top
"U5","CH340C","SOIC127P600X180-16N",134.280000,-113.760000,-90.000000,top
"U6","UMH3N","UMT6",141.365800,-115.745800,180.000000,top
"U7","ME6211C33M5G","SOT-23-5",135.150000,-95.645108,90.000000,top
"U8","CJ2301_S1","SOT-23",134.930000,-102.603939,0.000000,top
"U9","ESP32-WROOM-32D_16MB_","ESP32-WROOM-32",112.810000,-110.010000,180.000000,top
"U10","CH340C","SOIC127P600X180-16N",92.945000,-104.520000,-90.000000,top
"U11","UMH3N","UMT6",100.115000,-102.344200,-90.000000,top
"U12","ME6211C33M5G","SOT-23-5",124.906500,-111.644885,-90.000000,top
"U13","CJ2301_S1","SOT-23",125.126500,-104.476054,180.000000,top
"U14","D36V50F5-STEPDOWN","D36V50F5-STEPDOWN",95.415000,-77.515000,180.000000,top
"Y1","16MHz","XTAL_HC49P488W46L1150T500H350",112.410000,-94.020000,180.000000,top
